player_id,overall_rank,player_name,position,position_rank,team_abbreviation,bye_week,POS,adp
,1,Justin Jefferson,WR,1,min,13,WR1,1
,2,Christian McCaffrey,RB,1,sf,9,RB1,2
,3,Ja'Marr Chase,WR,2,cin,7,WR2,3
,4,Austin Ekeler,RB,2,lac,5,RB2,4
,5,Cooper Kupp,WR,3,lar,10,WR3,6
,6,Travis Kelce,TE,1,kc,10,TE1,6
,7,Saquon Barkley,RB,3,nyg,13,RB3,7
,8,Tyreek Hill,WR,4,mia,10,WR4,7.5
,9,Bijan Robinson,RB,4,atl,11,RB4,8.5
,10,Stefon Diggs,WR,5,buf,13,WR5,11
,11,Nick Chubb,RB,5,cle,5,RB5,12
,12,CeeDee Lamb,WR,6,dal,7,WR6,12
,13,A.J. Brown,WR,7,phi,10,WR7,12.5
,14,Patrick Mahomes II,QB,1,kc,10,QB1,15.5
,15,Jonathan Taylor,RB,6,ind,11,RB6,16.5
,16,Davante Adams,WR,8,lv,13,WR8,16.5
,17,Tony Pollard,RB,7,dal,7,RB7,18.5
,18,Josh Allen,QB,2,buf,13,QB2,18.5
,19,Derrick Henry,RB,8,ten,7,RB8,18.5
,20,Amon-Ra St. Brown,WR,9,det,9,WR9,18.5
,21,Garrett Wilson,WR,10,nyj,7,WR10,18.5
,22,Jalen Hurts,QB,3,phi,10,QB3,22.5
,23,Jaylen Waddle,WR,11,mia,10,WR11,23
,24,Josh Jacobs,RB,9,lv,13,RB9,23.5
,25,Rhamondre Stevenson,RB,10,ne,11,RB10,24.5
,26,Najee Harris,RB,11,pit,6,RB11,26.5
,27,Mark Andrews,TE,2,bal,13,TE2,28
,28,Chris Olave,WR,12,no,11,WR12,28
,29,DeVonta Smith,WR,13,phi,10,WR13,28.5
,30,Travis Etienne Jr.,RB,12,jac,9,RB12,31
,31,Tee Higgins,WR,14,cin,7,WR14,32
,32,Breece Hall,RB,13,nyj,7,RB13,32.5
,33,Lamar Jackson,QB,4,bal,13,QB4,33
,34,Joe Burrow,QB,5,cin,7,QB5,33.5
,35,Jahmyr Gibbs,RB,14,det,9,RB14,34
,36,DK Metcalf,WR,15,sea,5,WR15,35
,37,Kenneth Walker III,RB,15,sea,5,RB15,36
,38,Deebo Samuel,WR,16,sf,9,WR16,40
,39,Joe Mixon,RB,16,cin,7,RB16,40.5
,40,Calvin Ridley,WR,17,jac,9,WR17,41.5
,41,Aaron Jones,RB,17,gb,6,RB17,42.5
,42,Amari Cooper,WR,18,cle,5,WR18,42.5
,43,Justin Herbert,QB,6,lac,5,QB6,44
,44,Dameon Pierce,RB,18,hou,7,RB18,44.5
,45,Keenan Allen,WR,19,lac,5,WR19,44.5
,46,T.J. Hockenson,TE,3,min,13,TE3,45.5
,47,Justin Fields,QB,7,chi,13,QB7,45.5
,48,Terry McLaurin,WR,20,was,14,WR20,48.5
,49,Miles Sanders,RB,19,car,7,RB19,49.5
,50,DeAndre Hopkins,WR,21,ten,7,WR21,49.5
,51,J.K. Dobbins,RB,20,bal,13,RB20,53.5
,52,George Kittle,TE,4,sf,9,TE4,53.5
,53,Jerry Jeudy,WR,22,den,9,WR22,56
,54,Alexander Mattison,RB,21,min,13,RB21,56.5
,55,Alvin Kamara,RB,22,no,11,RB22,57
,56,Trevor Lawrence,QB,8,jac,9,QB8,57
,57,Christian Watson,WR,23,gb,6,WR23,57
,58,DJ Moore,WR,24,chi,13,WR24,57.5
,59,Cam Akers,RB,23,lar,10,RB23,60.5
,60,D'Andre Swift,RB,24,phi,10,RB24,61
,61,Drake London,WR,25,atl,11,WR25,61.5
,62,Javonte Williams,RB,25,den,9,RB25,63
,63,Mike Williams,WR,26,lac,5,WR26,63
,64,Chris Godwin,WR,27,tb,5,WR27,63.5
,65,James Conner,RB,26,ari,14,RB26,63.5
,66,Kyle Pitts,TE,5,atl,11,TE5,64
,67,Dalvin Cook,RB,27,,,RB27,64
,68,Rachaad White,RB,28,tb,5,RB28,64.5
,69,Darren Waller,TE,6,nyg,13,TE6,68
,70,Christian Kirk,WR,28,jac,9,WR28,69
,71,Brandon Aiyuk,WR,29,sf,9,WR29,69.5
,72,Dallas Goedert,TE,7,phi,10,TE7,70
,73,Michael Pittman Jr.,WR,30,ind,11,WR30,73
,74,Tyler Lockett,WR,31,sea,5,WR31,73.5
,75,Isiah Pacheco,RB,29,kc,10,RB29,74.5
,76,Marquise Brown,WR,32,ari,14,WR32,77
,77,James Cook,RB,30,buf,13,RB30,77.5
,78,David Montgomery,RB,31,det,9,RB31,78
,79,Diontae Johnson,WR,33,pit,6,WR33,79
,80,Mike Evans,WR,34,tb,5,WR34,79.5
,81,George Pickens,WR,35,pit,6,WR35,82
,82,Deshaun Watson,QB,9,cle,5,QB9,82.5
,83,Dak Prescott,QB,10,dal,7,QB10,83
,84,AJ Dillon,RB,32,gb,6,RB32,84.5
,85,Jaxon Smith-Njigba,WR,36,sea,5,WR36,84.5
,86,Jordan Addison,WR,37,min,13,WR37,87.5
,87,Antonio Gibson,RB,33,was,14,RB33,87.5
,88,Evan Engram,TE,8,jac,9,TE8,88
,89,Jahan Dotson,WR,38,was,14,WR38,90
,90,Treylon Burks,WR,39,ten,7,WR39,91.5
,91,Tua Tagovailoa,QB,11,mia,10,QB11,93
,92,Pat Freiermuth,TE,9,pit,6,TE9,93.5
,93,Brian Robinson Jr.,RB,34,was,14,RB34,94
,94,Brandin Cooks,WR,40,dal,7,WR40,96
,95,Rashaad Penny,RB,35,phi,10,RB35,96.5
,96,Jamaal Williams,RB,36,no,11,RB36,97
,97,David Njoku,TE,10,cle,5,TE10,98
,98,De'Von Achane,RB,37,mia,10,RB37,99
,99,Khalil Herbert,RB,38,chi,13,RB38,100.5
,100,Gabe Davis,WR,41,buf,13,WR41,100.5
,101,Courtland Sutton,WR,42,den,9,WR42,103
,102,Kadarius Toney,WR,43,kc,10,WR43,103.5
,103,Zach Charbonnet,RB,39,sea,5,RB39,103.5
,104,Michael Thomas,WR,44,no,11,WR44,103.5
,105,Kirk Cousins,QB,12,min,13,QB12,105
,106,Samaje Perine,RB,40,den,9,RB40,105.5
,107,Daniel Jones,QB,13,nyg,13,QB13,107.5
,108,JuJu Smith-Schuster,WR,45,ne,11,WR45,108
,109,Quentin Johnston,WR,46,lac,5,WR46,108.5
,110,Anthony Richardson,QB,14,ind,11,QB14,108.5
,111,Aaron Rodgers,QB,15,nyj,7,QB15,111
,112,Damien Harris,RB,41,buf,13,RB41,112.5
,113,Elijah Moore,WR,47,cle,5,WR47,112.5
,114,Zay Flowers,WR,48,bal,13,WR48,113.5
,115,Geno Smith,QB,16,sea,5,QB16,113.5
,116,Jared Goff,QB,17,det,9,QB17,114
,117,Odell Beckham Jr.,WR,49,bal,13,WR49,117
,118,Dalton Schultz,TE,11,hou,7,TE11,117.5
,119,Dalton Kincaid,TE,12,buf,13,TE12,118
,120,Jerick McKinnon,RB,42,kc,10,RB42,119
,121,Elijah Mitchell,RB,43,sf,9,RB43,119.5
,122,Jameson Williams,WR,50,det,9,WR50,120
,123,Chigoziem Okonkwo,TE,13,ten,7,TE13,122
,124,Allen Lazard,WR,51,nyj,7,WR51,124
,125,Russell Wilson,QB,18,den,9,QB18,126.5
,126,Adam Thielen,WR,52,car,7,WR52,127
,127,D'Onta Foreman,RB,44,chi,13,RB44,128
,128,Skyy Moore,WR,53,kc,10,WR53,129.5
,129,Cole Kmet,TE,14,chi,13,TE14,130
,130,Greg Dulcich,TE,15,den,9,TE15,132
,131,Rashod Bateman,WR,54,bal,13,WR54,132.5
,132,Tyler Allgeier,RB,45,atl,11,RB45,132.5
,133,Tank Bigsby,RB,46,jac,9,RB46,134.5
,134,Kendre Miller,RB,47,no,11,RB47,137.5
,135,Tyler Higbee,TE,16,lar,10,TE16,137.5
,136,Devin Singletary,RB,48,hou,7,RB48,139
,137,Jakobi Meyers,WR,55,lv,13,WR55,139.5
,138,Rondale Moore,WR,56,ari,14,WR56,139.5
,139,Raheem Mostert,RB,49,mia,10,RB49,140.5
,140,Jaylen Warren,RB,50,pit,6,RB50,141
,141,Sam LaPorta,TE,17,det,9,TE17,143.5
,142,Romeo Doubs,WR,57,gb,6,WR57,144
,143,Ezekiel Elliott,RB,51,,,RB51,145
,144,Tyler Boyd,WR,58,cin,7,WR58,146.5
,145,Darnell Mooney,WR,59,chi,13,WR59,147
,146,Derek Carr,QB,19,no,11,QB19,149
,147,Nico Collins,WR,60,hou,7,WR60,149.5
,148,Roschon Johnson,RB,52,chi,13,RB52,150
,149,Matthew Stafford,QB,20,lar,10,QB20,152.5
,150,Donovan Peoples-Jones,WR,61,cle,5,WR61,157.5
,151,Bryce Young,QB,21,car,7,QB21,157.5
,152,Kyler Murray,QB,22,ari,14,QB22,157.5
,153,Jordan Love,QB,23,gb,6,QB23,157.5
,154,Jeff Wilson Jr.,RB,53,mia,10,RB53,158
,155,Rashee Rice,WR,62,kc,10,WR62,159.5
